Код,Группа,Наименование,Стоимость услуги,Наименование лаборатории,Дата
160219,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e204, Бычий сывороточный альбумин, nBos d6, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160218,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f232, Овальбумин яйца, nGal d2, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160214,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену e94, Кошка, rFel d1, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160213,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w233, Полынь, nArt v3, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160212,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w231, Полынь, nArt v1, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160211,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену w230, Амброзия, nAmb a1, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160210,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g214, Тимофеевка, rPhl p7, rPhl p12, mmunoCAP®",2 450 р.,CMD,17.12.2023
160209,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g213, Тимофеевка, rPhl p1, rPhl p5b, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160208,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g215, Тимофеевка, rPhl p5b, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160207,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g212, Тимофеевка, rPhl p12, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160206,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g210, Тимофеевка, rPhl p7, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160205,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену g205, Тимофеевка, rPhl p1, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160204,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t220, Береза, rBet v4, IgE, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160203,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t216, Береза, rBet v2, IgE, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160202,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t221, Береза, rBet v 2, rBet v4, IgE, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160201,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену t215, Береза, rBet v1, IgE, ImmunoCAP®",2 450 р.,CMD,17.12.2023
160121,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f78, Казеин, nBos d8, ImmunoCAP®",2 410 р.,CMD,17.12.2023
160120,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f77, Бета-лактоглобулин, nBos d5, ImmunoCAP®",2 410 р.,CMD,17.12.2023
160119,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f76, Альфа-лактоальбумин, nBos d4, ImmunoCAP®",2 410 р.,CMD,17.12.2023
160236,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m81, Энтеротоксин В (S.aureus), ImmunoCAP®",995 р.,CMD,17.12.2023
160235,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену m80, Энтеротоксин А (S.aureus), ImmunoCAP®",995 р.,CMD,17.12.2023
160194,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f5, Рожь, мука ржаная, ImmunoCAP®",995 р.,CMD,17.12.2023
160193,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену k84, Семя подсолнечника, ImmunoCAP®",995 р.,CMD,17.12.2023
160192,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену k80, Формальдегид, ImmunoCAP®",995 р.,CMD,17.12.2023
160191,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену k82, Латекс, ImmunoCAP®",995 р.,CMD,17.12.2023
160190,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену o1, Хлопок, ImmunoCAP®",995 р.,CMD,17.12.2023
160187,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену c2, Пенициллин V, ImmunoCAP®",995 р.,CMD,17.12.2023
160186,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену c1, Пенициллин G, ImmunoCAP®",995 р.,CMD,17.12.2023
160185,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену c74, Желатин, ImmunoCAP®",995 р.,CMD,17.12.2023
160180,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f277, Укроп, ImmunoCAP®",995 р.,CMD,17.12.2023
160179,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f280, Перец черный, ImmunoCAP®",995 р.,CMD,17.12.2023
160178,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f45, Пекарские дрожжи, ImmunoCAP®",995 р.,CMD,17.12.2023
160177,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f93, Какао/шоколад, ImmunoCAP®",995 р.,CMD,17.12.2023
160176,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f222, Чай ImmunoCAP®",995 р.,CMD,17.12.2023
160175,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f221, Кофе, ImmunoCAP®",995 р.,CMD,17.12.2023
160173,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f49, Яблоко, ImmunoCAP®",995 р.,CMD,17.12.2023
160172,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f301, Хурма, ImmunoCAP®",995 р.,CMD,17.12.2023
160171,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f95, Персик, ImmunoCAP®",995 р.,CMD,17.12.2023
160170,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f302, Мандарин, ImmunoCAP®",995 р.,CMD,17.12.2023
160169,Аллергология. ImmunoCAP®,"Антитела IgE к аллергену f255, Слива, ImmunoCAP®",995 р.,CMD,17.12.2023
