,Город,Адрес,Часы работы,Контактный телефон,Станция метро
0,г. Санкт-Петербург,"пр-т Маршала Жукова, д. 28, корп. 1, литера А",,8(812)363-363-0,Автово
1,г. Санкт-Петербург,"пр-т Науки, д. 8, корп. 1",,8(812)363-363-0,Академическая
2,г. Санкт-Петербург,"Гражданский пр-т, д. 49, корп. 1, литера А",,8(812)363-363-0,Академическая
3,г. Санкт-Петербург,"пр-т Александровской Фермы, д. 8, с. 1",,8(812)363-363-0,
4,г. Санкт-Петербург,"ул. Адмирала Коновалова, д. 2-4, литера А",,8(812)363-363-0,Автово
5,г. Санкт-Петербург,"Петергофское шоссе, д. 53А",,8(812)363-363-0,Проспект Ветеранов
6,г. Санкт-Петербург,"ул. Савушкина, д. 124, корп. 1",,8(812)363-363-0,Беговая
7,г. Санкт-Петербург,"26-я линия В.О., д. 7, стр. 1",,8(812)363-363-0,Василеостровская
8,г. Санкт-Петербург,"6-я линия ВО, д. 43, литера А",,8(812)363-363-0,Василеостровская
9,г. Санкт-Петербург," Горелово, Красносельское шоссе, д. 54, корп. 3",,8(812)363-363-0,
10,г. Санкт-Петербург,"Кронверкский пр-т, д. 29, литера А",,8(812)363-363-0,Горьковская
11,г. Санкт-Петербург,"муниципальный округ Полюстрово, Васнецовский проспект, д. 22, стр. 1",,8(812)363-363-0,Гражданский проспект
12,г. Санкт-Петербург,"Гражданский пр-т, д. 113, корп. 3, литера А",,8(812)363-363-0,Гражданский проспект
13,г. Санкт-Петербург,"пр-т Елизарова, д. 18, литера А",,8(812)363-363-0,Елизаровская
14,г. Санкт-Петербург,"улица Звездная, д. 9, корп.1, лит. А",,8(812)363-363-0,Звёздная
15,г. Санкт-Петербург,"ул. Ленсовета, д. 89, литера А",,8(812)363-363-0,Звёздная
16,г. Санкт-Петербург,"ул. Кронштадтская, д. 4, литера А",,8(812)363-363-0,Кировский завод
17,г. Санкт-Петербург,"Комендантский пр-т, д. 34, корп. 1, литера А",,8(812)363-363-0,Комендантский проспект
18,г. Санкт-Петербург,"Комендантский пр-т, д. 10, корп. 1, лит. а",,8(812)363-363-0,Комендантский проспект
19,г. Санкт-Петербург,"ул. Парашютная, д. 38/3, стр. 1",,8(812)363-363-0,Комендантский проспект
20,г. Санкт-Петербург,"Богатырский пр-т, д. 49, к. 1, литера А",,8(812)363-363-0,Комендантский проспект
21,г. Санкт-Петербург,"Комендантский проспект, д. 66, корп. 1, стр. 1",,8(812)363-363-0,
22,г. Санкт-Петербург,"ул. Лидии Зверевой, д. 9, корп. 2 , стр. 1",,8(812)363-363-0,Комендантский проспект
23,г. Санкт-Петербург,"Красносельский р-н, г. Красное село, пр. Ленина, д. 73",,8(812)363-363-0,
24,г. Санкт-Петербург,"г. Кронштадт, ул. Гражданская, д. 8, литера А",,8(812)363-363-0,
25,г. Санкт-Петербург,"ул. Я. Гашека, д. 4, корп. 1, литера А",,8(812)363-363-0,Купчино
26,г. Санкт-Петербург,"Индустриальный пр-т, д. 15, литера А",,8(812)363-363-0,Ладожская
27,г. Санкт-Петербург,"Заневский пр., д.42, строение 1",,8(812)363-363-0,Ладожская
28,г. Санкт-Петербург,"ул. Русановская, д. 19/3, литера А",,8(812)363-363-0,
29,г. Санкт-Петербург,"Ленинский пр-т, д. 56, стр.1",,8(812)363-363-0,Ленинский проспект
30,г. Санкт-Петербург,"бульвар Новаторов, д. 13, литер А, пом. 8Н",,8(812)363-363-0,Ленинский проспект
31,г. Санкт-Петербург,"Ленинский пр-т, д. 77, корп. 1, литера А",,8(812)363-363-0,Ленинский проспект
32,г. Санкт-Петербург,"внутригородское муниципальное образование Санкт-Петербурга поселок Шушары, Московское шоссе, дом 250, корпус 2, строение 1, помещение 22-Н",,8(812)363-363-0,помещение 22-Н
33,г. Санкт-Петербург,"Лабораторный пр-т, д. 20, корп. 3",,8(812)363-363-0,Лесная
34,г. Санкт-Петербург,"пр-т Маршала Блюхера, 7, корп. 2, стр. 1",,8(812)363-363-0,Лесная
35,г. Санкт-Петербург,"ул. Кантемировская, д. 31, литера Е",,8(812)363-363-0,Лесная
36,г. Санкт-Петербург,"Лиговский проспект, д.109",,8(812)363-363-0,Обводный канал
37,г. Санкт-Петербург,"Невский р-н, ул. Ивановская, д. 6, литера А",,8(812)363-363-0,Ломоносовская
38,г. Санкт-Петербург,"ул. Бухарестская, д. 78, литера А",,8(812)363-363-0,Международная
39,г. Санкт-Петербург,"Южное шоссе, д. 51, корп. 3, стр.1",,8(812)363-363-0,Международная
40,г. Санкт-Петербург,"ул. Типанова, д. 3, литера А",,8(812)363-363-0,Московская
41,г. Санкт-Петербург,"ул. Среднерогатская, дом 11, строение 1",,8(812)363-363-0,Московская
