,Дата,Наименование,Группа,Код,Стоимость услуги,Наименование лаборатории
0,2023-12-04 22:42:29,"Антитела IgE к аллергену Овсянницы луговой (Festuca elatior), (g4)   ",Аллергологические анализы,,980,БудьЗдоров
1,2023-12-04 22:42:29,"Антитела IgE к аллергену Мятлика   лугового (Poa pratensis), (g8)            ",Аллергологические анализы,,980,БудьЗдоров
2,2023-12-04 22:42:29,"Антитела IgE к аллергену Клеща-дерматофага перинного (Dermatophagoides pteronyssinus), (d1)        ",Аллергологические анализы,,980,БудьЗдоров
3,2023-12-04 22:42:29,"Антитела IgE к аллергену Клеща-дерматофаго мучного (Dermatophagoides farinae), (d2)",Аллергологические анализы,,980,БудьЗдоров
4,2023-12-04 22:42:29,"Антитела IgE к аллергену Домашней пыли, (H1)          ",Аллергологические анализы,,980,БудьЗдоров
5,2023-12-04 22:42:29,"Антитела IgE к аллергену Пшеницы, f4 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
6,2023-12-04 22:42:29,"Антитела IgE к аллергену Молока, f2 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
7,2023-12-04 22:42:29,"Антитела IgE к аллергену Яйца, f245 (ImmunoCAP)",Аллергологические анализы,,1 430,БудьЗдоров
8,2023-12-04 22:42:29,"Антитела IgE к аллергену Собаки, перхоть, e5 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
9,2023-12-04 22:42:29,"Антитела IgE к аллергену Кошки, перхоть, e1 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
10,2023-12-04 22:42:29,"Антитела IgE к аллергену Клеща домашней пыли Dermatophagoides pteronyssinus, d1 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
11,2023-12-04 22:42:29,"Антитела IgE к аллергену Клеща домашней пыли D.farinae, d2 (ImmunoCAP)",Аллергологические анализы,,1 190,БудьЗдоров
12,2023-12-04 22:42:29,"Антитела IgE к аллергену Берёзы, t3 (ImmunoCAP)",Аллергологические анализы,,1 430,БудьЗдоров
13,2023-12-04 22:42:29,Исследование уровня общего иммуноглобулина E в крови,Аллергологические анализы,,755,БудьЗдоров
14,2023-12-04 22:42:29,Исследование уровня эозинофильного катионного белка в крови,Аллергологические анализы,,1 025,БудьЗдоров
15,2023-12-04 22:42:29,"Антитела IgE к панели аллергенов микроскопических грибов МP1: M1/penicillium notatum, M2/cladosporium herbarum, M3/aspergillus fumigatus, M5/candida albicans, M6/alternaria tenuis/Mold Panel 1 (m1,m2,m3,m5,m6)",Аллергологические анализы,,630,БудьЗдоров
16,2023-12-04 22:42:29,"Антитела IgE к панели аллергенов HP1:H1/домашняя пыль (greer), D1/dermatophagoides pteronyssinus, D2/dermatophagoides farinae, I6/таракан-прусак/Dust Panel 1 (h1, d1, d2, i6)",Аллергологические анализы,,630,БудьЗдоров
17,2023-12-04 22:42:29,"Антитела IgE к панели аллергенов деревьев TP9: T2/ольха, T3/береза, T4/лещина обыкновенная, T7/дуб, T12/ива/Tree Panel 9 (t2,t3,t4,t7,t12)",Аллергологические анализы,,1 140,БудьЗдоров
18,2023-12-04 22:42:29,"Антитела IgE к панели аллергенов травы GP1:G3/ежа сборная, G4/овсяница луговая, G5/рожь многолетняя, G6/тимофеевка, G8/мятлик луговой/Grass Panel 1 (g3,g4,g5,g6,g8)",Аллергологические анализы,,1 140,БудьЗдоров
19,2023-12-04 22:42:29,Антитела IgE к аллергену Кошки rFel d 1,Аллергологические анализы,,2 345,БудьЗдоров
20,2023-12-04 22:42:29,"Панель №1 IgE (Молоко коровье, молоко козье, молоко овечье, сыр, творог, сметана, йогурт, кефир)",Аллергологические анализы,,970,БудьЗдоров
21,2023-12-04 22:42:29,Фадиатоп IgE (ImmunoCAP),Аллергологические анализы,,2 250,БудьЗдоров
22,2023-12-04 22:42:29,"Антитела IgE к панели аллергенов сорных растений и цветов WP1: W1/амброзия обыкновенная, W6/полынь обыкновенная, W9/подорожник, W10/мари белая, W11/зольник/cолянка/Weed Panel 1 (w1,w6,w9,w10,w11)",Аллергологические анализы,,1 140,БудьЗдоров
23,2023-12-04 22:42:29,"Панель бытовых аллергенов №1 (8 аллергенов) (домашняя пыль, перо подушки, шерсть кошки, шерсть собаки, шерсть овцы, клещ D.pteroniss, клещ D.farina, библиотечная пыль)",Аллергологические анализы,,970,БудьЗдоров
24,2023-12-04 22:42:29,"Панель №2 IgE (Пшеничная мука, ржаная мука, рис, гречка, овес, перловая крупа, пшено, ячмень)",Аллергологические анализы,,970,БудьЗдоров
25,2023-12-04 22:42:29,"Панель №3 IgE (Фасоль (бобы), горох, чечевица, кукуруза, дрожжи пекарские, белок куриного яйца, желток куриного яйца, яйцо перепелиное)",Аллергологические анализы,,970,БудьЗдоров
26,2023-12-04 22:42:29,"Панель №30 IgE (Тилапия, ставрида, барабулька, сибас, толстолобик, хамса, мойва, сардины)",Аллергологические анализы,,1 035,БудьЗдоров
