,Город,Адрес,Часы работы,Контактный телефон,Станция метро
0,Санкт-Петербург,"Манежный переулок, 14",,8 800 555-35-90,Чернышевская
1,Санкт-Петербург,"Австрийская улица, 4к1",,8 800 555-35-90,Улица Дыбенко
2,Санкт-Петербург,"Смоленская улица, 14",,8 800 555-35-90,Фрунзенская
3,Санкт-Петербург,"проспект Энгельса, 50",,8 800 555-35-90,Удельная
4,Санкт-Петербург,"набережная Обводного канала, 80",,8 800 555-35-90,Фрунзенская
5,Санкт-Петербург,"улица Маршала Казакова, 9к1",,8 800 555-35-90,Автово
6,Санкт-Петербург,"Европейский проспект, 8",,8 800 555-35-90,Улица Дыбенко
7,Санкт-Петербург,"Купчинская улица, 21к1",,8 800 555-35-90,Купчино
8,Санкт-Петербург,"Охтинская аллея, 16",,8 800 555-35-90,Девяткино
9,Санкт-Петербург,"Туристская улица, 24/42",,8 800 555-35-90,Старая Деревня
10,Санкт-Петербург,"проспект Авиаконструкторов, 47",,8 800 555-35-90,Комендантский проспект
11,Санкт-Петербург,"проспект Пятилеток, 8, корп. 1",,8 800 555-35-90,Проспект Большевиков
12,Санкт-Петербург,"Московский проспект, 143Б",,8 800 555-35-90,Электросила
13,Санкт-Петербург,"Гражданский проспект, 107к4",,8 800 555-35-90,Гражданский проспект
14,Санкт-Петербург,"Новоколомяжский пр., д.13",,8 800 555-35-90,Озерки
15,Санкт-Петербург,"Петровский проспект, 2",,8 800 555-35-90,Спортивная
16,Санкт-Петербург,"Гжатская улица, 22к3",,8 800 555-35-90,Академическая
17,Санкт-Петербург,"проспект Энтузиастов, 43, корп.1",,8 800 555-35-90,Ладожская
18,Санкт-Петербург,"Фурштатская улица, 20",,8 800 555-35-90,Чернышевская
19,Санкт-Петербург,"проспект Луначарского, 11к1",,8 800 555-35-90,Проспект Просвещения
20,Санкт-Петербург,"7-я линия Васильевского острова, 16-18",,8 800 555-35-90,Василеостровская
21,Санкт-Петербург,"Славянская улица, 20, территория Усть-Славянка",,8 800 555-35-90,Рыбацкое
22,Санкт-Петербург,"Нарвский проспект, 18",,8 800 555-35-90,Нарвская
23,Санкт-Петербург,"улица Типанова, 29",,8 800 555-35-90,Московская
24,Санкт-Петербург,"Богословская улица, 4к1",,8 800 555-35-90,Лесная
25,Санкт-Петербург,"Графский переулок, 7",,8 800 555-35-90,Достоевская
26,Санкт-Петербург,"Алтайская улица, 20/26",,8 800 555-35-90,Московская
27,Санкт-Петербург,"6-я линия Васильевского острова, 23",,8 800 555-35-90,Василеостровская
28,Санкт-Петербург,"проспект Обуховской Обороны, 7",,8 800 555-35-90,Площадь Александра Невского 2
29,Санкт-Петербург,"Фермское шоссе, 20к2",,8 800 555-35-90,Удельная
30,Санкт-Петербург,"11-я линия Васильевского острова, 24",,8 800 555-35-90,Василеостровская
31,Санкт-Петербург,"улица Крыленко, 43к2",,8 800 555-35-90,Улица Дыбенко
32,Санкт-Петербург,"Дегтярная улица, 23/25",,8 800 555-35-90,Площадь Восстания
33,Санкт-Петербург,"Новолитовская улица, 15А",,8 800 555-35-90,Лесная
34,Санкт-Петербург,"Большая Пушкарская улица, 50",,8 800 555-35-90,Петроградская
35,Санкт-Петербург,"Глухая Зеленина улица, 6",,8 800 555-35-90,Чкаловская
36,Санкт-Петербург,"2-я Советская улица, 4Б",,8 800 555-35-90,Площадь Восстания
37,Санкт-Петербург,"Гражданский проспект, 84",,8 800 555-35-90,Академическая
38,Санкт-Петербург,"улица Орджоникидзе, 52",,8 800 555-35-90,Звёздная
39,Санкт-Петербург,"Ленинский проспект, 111к1",,8 800 555-35-90,Ленинский проспект
40,Санкт-Петербург,"проспект Авиаконструкторов, 2",,8 800 555-35-90,Комендантский проспект
41,Санкт-Петербург,"Богатырский проспект, 10",,8 800 555-35-90,Пионерская
42,Санкт-Петербург,"улица Будапештская, 97, корп.2",,8 800 555-35-90,Дунайская
43,Санкт-Петербург,"улица Генерала Кравченко, 3, корп.1",,8 800 555-35-90,
44,Санкт-Петербург,"улица Есенина, 12, корп. 1",,8 800 555-35-90,Озерки
45,Санкт-Петербург,"улица Ильюшина, 1к1",,8 800 555-35-90,Комендантский проспект
46,Санкт-Петербург,"Областная улица, 9, корп.2",,8 800 555-35-90,Улица Дыбенко
47,Санкт-Петербург,"улица Столичная, 11, корп.1",,8 800 555-35-90,Улица Дыбенко
48,Санкт-Петербург,"Привокзальная площадь, 5А, корп.6",,8 800 555-35-90,Девяткино
49,Санкт-Петербург,"улица Оптиков, 37",,8 800 555-35-90,Парнас
50,Санкт-Петербург,"улица Фёдора Абрамова, 8",,8 800 555-35-90,Парнас
51,Санкт-Петербург,"улица Есенина, 32, корп.1",,8 800 555-35-90,Проспект Просвещения
52,Санкт-Петербург,"улица Среднерогатская,13 корп.1 ",,8 800 555-35-90,Звёздная
