,Дата,Наименование,Группа,Код,Стоимость услуги,Наименование лаборатории
0,2023-12-07 18:22:17,Ежегодное обследование женщин 15-24 лет,Check-up обследование организма,,5 555,ООО «Ваша лаборатория»
1,2023-12-07 18:22:17,Ежегодное обследование женщин 25-34 лет,Check-up обследование организма,,5 205,ООО «Ваша лаборатория»
2,2023-12-07 18:22:17,Ежегодное обследование женщин 35-44 лет,Check-up обследование организма,,5 920,ООО «Ваша лаборатория»
3,2023-12-07 18:22:17,Ежегодное обследование женщин 45-59 лет,Check-up обследование организма,,5 674,ООО «Ваша лаборатория»
4,2023-12-07 18:22:17,Ежегодное обследование женщин старше 60 лет,Check-up обследование организма,,3 615,ООО «Ваша лаборатория»
5,2023-12-07 18:22:17,Ежегодное обследование мужчин 15-24 лет,Check-up обследование организма,,4 940,ООО «Ваша лаборатория»
6,2023-12-07 18:22:17,Ежегодное обследование мужчин 25-34 лет,Check-up обследование организма,,5 235,ООО «Ваша лаборатория»
7,2023-12-07 18:22:17,Ежегодное обследование мужчин 35-44 лет,Check-up обследование организма,,5 405,ООО «Ваша лаборатория»
8,2023-12-07 18:22:17,Ежегодное обследование мужчин 45-59 лет,Check-up обследование организма,,5 159,ООО «Ваша лаборатория»
9,2023-12-07 18:22:17,Ежегодное обследование мужчин старше 60 лет,Check-up обследование организма,,3 615,ООО «Ваша лаборатория»
10,2023-12-07 18:22:17,Восстановление после родов,Комплекс анализов,,4 235,ООО «Ваша лаборатория»
11,2023-12-07 18:22:17,Ежегодная диспансеризация (комплекс анализов),Комплекс анализов,,2 515,ООО «Ваша лаборатория»
12,2023-12-07 18:22:17,Ежегодное обследование (комплекс анализов),Комплекс анализов,,3 060,ООО «Ваша лаборатория»
13,2023-12-07 18:22:17,Женщинам старше 45 (комплекс анализов),Комплекс анализов,,3 509,ООО «Ваша лаборатория»
14,2023-12-07 18:22:17,"Комплекс анализов Здоровые волосы, ногти, кожа",Комплекс анализов,,5 025,ООО «Ваша лаборатория»
15,2023-12-07 18:22:17,Комплекс анализов для офисных сотрудников,Комплекс анализов,,5 035,ООО «Ваша лаборатория»
16,2023-12-07 18:22:17,Мужчинам старше 45 (комплекс анализов),Комплекс анализов,,3 404,ООО «Ваша лаборатория»
17,2023-12-07 18:22:17,Обследование перед вакцинацией,Комплекс анализов,,4 220,ООО «Ваша лаборатория»
18,2023-12-07 18:22:17,Причины отечности,Комплекс анализов,,3 435,ООО «Ваша лаборатория»
19,2023-12-07 18:22:17,Причины переутомления и усталости,Комплекс анализов,,3 730,ООО «Ваша лаборатория»
20,2023-12-07 18:22:17,Сексуальное здоровье мужчины (комплекс анализов),Комплекс анализов,,3 935,ООО «Ваша лаборатория»
21,2023-12-07 18:22:17,Клинический общий анализ крови CBC/Diff с лейкоцитарной формулой и СОЭ,Клинический (общий) анализ крови,,460,ООО «Ваша лаборатория»
22,2023-12-07 18:22:17,Лейкоцитарная формула + лейкоцитарный индекс интоксикации микроскопия,Клинический (общий) анализ крови,A12.05.121,195,ООО «Ваша лаборатория»
23,2023-12-07 18:22:17,Лейкоцитарная формула микроскопия мазка,Клинический (общий) анализ крови,A12.05.121,190,ООО «Ваша лаборатория»
24,2023-12-07 18:22:17,Лейкоцитарная формула с микроскопией мазка при наличии патологических сдвигов,Клинический (общий) анализ крови,A12.05.121,175,ООО «Ваша лаборатория»
25,2023-12-07 18:22:17,Общий анализ крови CBC без лейкоцитарной формулы  и СОЭ,Клинический (общий) анализ крови,B03.016.002,170,ООО «Ваша лаборатория»
26,2023-12-07 18:22:17,Общий анализ крови CBC/Diff с лейкоцитарной формулой без СОЭ,Клинический (общий) анализ крови,B03.016.003,345,ООО «Ваша лаборатория»
27,2023-12-07 18:22:17,Общий анализ крови с лейкоцитарной формулой CBC/diff и микроскопией мазка без СОЭ,Клинический (общий) анализ крови,,535,ООО «Ваша лаборатория»
28,2023-12-07 18:22:17,Общий анализ крови с лейкоцитарной формулой CBC/diff и микроскопией мазка с расчетом лейкоцитарного индекса интоксикации без СОЭ,Клинический (общий) анализ крови,,540,ООО «Ваша лаборатория»
29,2023-12-07 18:22:17,Ретикулоциты и Общий анализ крови CBC/Diff с лейкоцитарной формулой без СОЭ,Клинический (общий) анализ крови,,570,ООО «Ваша лаборатория»
30,2023-12-07 18:22:17,Ретикулоциты количество,Клинический (общий) анализ крови,A12.05.123,225,ООО «Ваша лаборатория»
31,2023-12-07 18:22:17,СОЭ по Вестергрену,Клинический (общий) анализ крови,A12.05.001,115,ООО «Ваша лаборатория»
32,2023-12-07 18:22:17,"Тромбоциты, метод Фонио и Общий анализ крови CBC/Diff с лейкоцитарной формулой без СОЭ",Клинический (общий) анализ крови,A12.05.120,510,ООО «Ваша лаборатория»
33,2023-12-07 18:22:17,"Тромбоциты, микроскопия, подсчет в окрашенном мазке по методу Фонио",Клинический (общий) анализ крови,A12.05.120,165,ООО «Ваша лаборатория»
34,2023-12-07 18:22:17,Базовый комплекс анализов для веганов,Вегетарианцам и веганам,,5 560,ООО «Ваша лаборатория»
35,2023-12-07 18:22:17,Базовый комплекс анализов для вегетарианцев,Вегетарианцам и веганам,,3 195,ООО «Ваша лаборатория»
36,2023-12-07 18:22:17,Вегетарианский скрининг,Вегетарианцам и веганам,,1 550,ООО «Ваша лаборатория»
37,2023-12-07 18:22:17,Ежегодный вегетарианский комплекс анализов после 45 лет,Вегетарианцам и веганам,,3 980,ООО «Ваша лаборатория»
38,2023-12-07 18:22:17,Ежегодный комплекс анализов для веганов,Вегетарианцам и веганам,,8 325,ООО «Ваша лаборатория»
39,2023-12-07 18:22:17,Ежегодный комплекс анализов для вегетарианцев,Вегетарианцам и веганам,,7 435,ООО «Ваша лаборатория»
40,2023-12-07 18:22:17,Биохимический анализ крови (расширенный),Биохимия крови,,3 710,ООО «Ваша лаборатория»
41,2023-12-07 18:22:17,Биохимический анализ крови (скрининг),Биохимия крови,,1 150,ООО «Ваша лаборатория»
42,2023-12-07 18:22:17,Водно-солевой баланс,Биохимия крови,,645,ООО «Ваша лаборатория»
43,2023-12-07 18:22:17,Метаболический баланс,Биохимия крови,,3 950,ООО «Ваша лаборатория»
44,2023-12-07 18:22:17,Обмен железа (комплекс анализов),Биохимия крови,,1 135,ООО «Ваша лаборатория»
45,2023-12-07 18:22:17,АЛТ,Биохимия крови,A09.05.042,115,ООО «Ваша лаборатория»
46,2023-12-07 18:22:17,АСЛО,Биохимия крови,A12.06.015,280,ООО «Ваша лаборатория»
47,2023-12-07 18:22:17,АСТ,Биохимия крови,A09.05.041,110,ООО «Ваша лаборатория»
48,2023-12-07 18:22:17,Альбумин,Биохимия крови,A09.05.011,175,ООО «Ваша лаборатория»
49,2023-12-07 18:22:17,Альбумин Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
50,2023-12-07 18:22:17,Альфа-амилаза,Биохимия крови,A09.05.045,175,ООО «Ваша лаборатория»
51,2023-12-07 18:22:17,Альфа-амилаза панкреатическая,Биохимия крови,A09.05.180,195,ООО «Ваша лаборатория»
52,2023-12-07 18:22:17,Альфа1-глобулины Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
53,2023-12-07 18:22:17,Альфа2-глобулины Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
54,2023-12-07 18:22:17,Аполипопротеин А1,Биохимия крови,A09.05.250,395,ООО «Ваша лаборатория»
55,2023-12-07 18:22:17,Аполипопротеин В,Биохимия крови,A09.05.251,370,ООО «Ваша лаборатория»
56,2023-12-07 18:22:17,Атерогенный индекс плазмы,Биохимия крови,,10,ООО «Ваша лаборатория»
57,2023-12-07 18:22:17,Белковые фракции в сыворотке методом электрофореза,Биохимия крови,A09.05.014,330,ООО «Ваша лаборатория»
58,2023-12-07 18:22:17,Бета-глобулины Белковые фракции,Биохимия крови,,55,ООО «Ваша лаборатория»
